name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
2MASS J23515044-2537367,J235150.93-253733.37,357.9622959256477,0.04086683937823834,-25.62592299818653,0.037945336787564767,10.95,0.019,10.951,0.018,10.9,0.018,10.99,0.022,59.156,39.2,70.2,199,0.09,-0.001,0.433,0.0020000000000000018,7.652067558212313,0.11512902398210527,2.800816396237499,10.717,0.022,10.715,0.021,10.656,0.022,10.781,0.025,49.93,30.9,58.2,187,0.125,0.002,0.528,0.0010000000000000009,3.7457975639933028,0.14037949580402123,52.492129002771385,10.327,0.21,5.533,7.627,0.194,1.338,0.233,4545.818371640002,AA,http://byw.tools/wiseview#ra=357.9621898&dec=-25.6259373&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J2331016-040619,J233101.85-040622.85,352.7576527174603,0.048980952380952375,-4.106365202645502,0.04593386243386243,11.634,0.021,11.636,0.02,11.586,0.027,11.681,0.024,51.903,30.8,60.4,96,0.095,-0.002,0.474,0.006000000000000005,8.999395090859714,0.2053861675369625,0.0666406096432284,11.395,0.029,11.393,0.028,11.309,0.028,11.478,0.029,37.581,29.7,43.2,93,0.169,0.002,0.503,0.0050000000000000044,8.758919089904536,0.21121430962379975,0.11709542059335504,10.532,0.216,2.7,7.808,,0.1,0.24,4545.109491679999,AA,http://byw.tools/wiseview#ra=352.7577127&dec=-4.106347957&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22551861-5713056,J225518.21-571310.50,343.8253923831354,0.0503667458432304,-57.219692491686466,0.04629026128266033,11.831,0.022,11.829,0.021,11.774,0.023,11.897,0.025,50.06,33.1,62.2,210,0.123,0.002,0.553,0.0,5.229096878275267,0.13896033899189345,11.79213094276823,11.502,0.03,11.498,0.029,11.415,0.03,11.603,0.028,37.043,23.6,43.8,211,0.188,0.004,0.559,0.0030000000000000027,10.616828592367275,0.11234166983533206,0.06465504418266345,11.016,0.388,2.05,7.654,,1.6,0.329,4546.652620500005,AA,http://byw.tools/wiseview#ra=343.8258557&dec=-57.21958275&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J225210.73-173013.4,J225211.22-173011.25,343.04688441329785,0.058504255319148935,-17.50305958989362,0.05617925531914893,12.203,0.025,12.206,0.024,12.133,0.026,12.269,0.024,44.315,26.3,52.9,95,0.136,-0.003,0.463,0.0030000000000000027,9.426412934114309,0.2020955072739799,0.14780873606069364,11.776,0.035,11.772,0.035,11.684,0.031,11.878,0.043,31.077,22.6,38.1,93,0.194,0.004,0.546,0.0,5.388645717365353,0.3142443119434184,14.638583316543281,10.915,0.398,3.0,7.622,,1.0,0.427,4548.207836449998,AA,http://byw.tools/wiseview#ra=343.0467666&dec=-17.50312369&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSSp J224953.45+004404.2,J224953.45+004404.56,342.47315513439486,0.12208025477707007,0.7346345987261147,0.11696305732484076,13.607,0.044,13.598,0.043,13.441,0.037,13.779,0.05,24.822,15.8,29.5,79,0.338,0.009,0.536,0.019000000000000017,7.598537337663081,0.21197061206205606,0.26497829922858046,13.12,0.086,13.12,0.084,12.882,0.097,13.394,0.144,13.042,7.5,17.3,78,0.512,-0.0,0.534,0.0010000000000000009,8.896943560183605,0.25892101707319704,0.058948107930338514,10.696,,1.4,6.929,0.251,4.3,0.487,4547.866712709998,AA,http://byw.tools/wiseview#ra=342.4727&dec=0.7346&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J2238074+435317,J223807.99+435315.92,339.5332674452747,0.06166813186813187,43.8876517767033,0.05750263736263736,12.205,0.024,12.204,0.024,12.147,0.021,12.274,0.027,45.307,30.1,53.8,224,0.127,0.001,0.551,0.0010000000000000009,10.618762122039,0.11083771347889389,0.05454658411415923,11.979,0.039,11.982,0.037,11.858,0.045,12.091,0.055,28.356,16.3,36.5,231,0.233,-0.003,0.468,0.0,3.5512211037869927,0.14506150677437932,178.79290779279165,11.179,0.404,1.991,7.667,0.448,1.3,0.226,4547.299621530001,AA,http://byw.tools/wiseview#ra=339.5332934&dec=43.88775584&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22344161+4041387,J223441.59+404138.82,338.6733881518584,0.03914761061946903,40.694063004601766,0.03598530973451327,10.948,0.019,10.947,0.018,10.855,0.021,11.045,0.02,58.259,38.7,71.0,283,0.19,0.001,0.516,0.0,3.980254979817469,0.42461757013552914,51.34818431923225,10.38,0.02,10.381,0.019,10.267,0.02,10.506,0.024,55.544,36.3,67.8,282,0.239,-0.001,0.523,0.0,4.249507523319081,0.4168902845711083,51.34818431923225,8.399,0.057,20.755,5.728,0.11,11.273,0.569,4547.7375245400035,AA,http://byw.tools/wiseview#ra=338.6732932&dec=40.69411772&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J2206228-204705,J220622.84-204706.77,331.5951164477401,0.04160762711864407,-20.785175983333332,0.03900988700564972,11.07,0.019,11.07,0.019,11.028,0.024,11.115,0.02,57.926,35.7,69.7,180,0.087,0.0,0.517,0.0,11.67861189803978,0.14782727024457762,0.042295531874099956,10.858,0.023,10.859,0.023,10.776,0.023,10.938,0.025,47.622,32.6,57.1,174,0.162,-0.001,0.488,0.0020000000000000018,10.558672122639097,0.15016568260634627,0.06446409871342608,10.553,0.275,4.029,7.561,,0.975,0.212,4546.5497397,AA,http://byw.tools/wiseview#ra=331.5951732&dec=-20.78521259&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
eps Indi B,J220418.58-564738.30,331.07675095698926,0.27103333333333335,-56.79414140394265,0.2723745519713262,12.357,0.079,10.633,nan,10.572,0.016,17.262,nan,44.595,-3.1,73.9,165,6.69,1.724,0.991,1.0,nan,nan,4548.882699199996,9.449,0.015,9.448,0.015,9.398,0.015,9.488,0.017,71.587,54.8,83.6,114,0.09,0.001,0.444,0.016000000000000014,8.390861451161255,0.1532020356400505,0.04516061710176473,11.2,,1.8,7.697,,1.4,2.908,4548.882699199996,BA,http://byw.tools/wiseview#ra=331.0773961&dec=-56.79397111&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22025794-5605087,J220258.07-560510.12,330.74188749671526,0.0775229927007299,-56.0861364620438,0.07342189781021898,12.831,0.03,12.834,0.029,12.751,0.03,12.905,0.038,36.725,27.3,43.6,136,0.154,-0.003,0.461,0.019000000000000017,9.362586918799577,0.140321925761619,0.05330057417947631,12.55,0.054,12.545,0.052,12.378,0.05,12.735,0.062,20.71,7.3,26.1,138,0.357,0.005,0.532,0.018000000000000016,7.628773501635987,0.1344565544060899,0.3202539968433702,11.009,0.36,2.1,7.934,,,0.281,4548.877096030003,AA,http://byw.tools/wiseview#ra=330.7419535&dec=-56.08614366&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J220002.05-303832.9,J215226.37+093800.67,328.11002749712924,0.06851531100478468,9.633351682775121,0.06641339712918659,12.575,0.028,12.574,0.027,12.502,0.027,12.645,0.037,39.643,22.2,47.1,106,0.143,0.001,0.497,0.0010000000000000009,9.699818953684295,0.2102509986280021,0.06925534550792752,12.193,0.044,12.19,0.043,12.069,0.05,12.339,0.053,25.201,18.2,32.0,103,0.27,0.003,0.552,0.0020000000000000018,8.060603687352431,0.21890807286364022,2.639265856429996,10.985,0.386,2.367,7.824,,0.3,0.382,4548.598752500002,AA,http://byw.tools/wiseview#ra=328.1098957&dec=9.633519828&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J21522609+0937575,J215226.09+093757.36,328.10988443680554,0.0695888888888889,9.633277640277777,0.06792569444444445,12.573,0.028,12.574,0.027,12.502,0.027,12.635,0.033,39.642,22.2,47.1,72,0.133,-0.001,0.459,0.0020000000000000018,8.498751639924775,0.2668345639373361,0.03777117891058168,12.187,0.044,12.187,0.042,12.078,0.038,12.339,0.053,25.403,17.0,32.0,72,0.261,0.0,0.582,0.0020000000000000018,9.30189879204778,0.2959984079667685,0.07591761495198482,10.897,0.386,2.25,7.843,,0.3,0.386,3453.1582666600007,AA,http://byw.tools/wiseview#ra=328.1087&dec=9.6326&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J2147436+143131,J214743.59+143131.05,326.93165276156714,0.06319179104477611,14.525255214925375,0.05978022388059702,12.309,0.025,12.311,0.024,12.234,0.028,12.383,0.032,43.798,29.1,52.1,135,0.149,-0.002,0.483,0.0030000000000000027,11.286945431508911,0.17217351519940977,0.06603425344758757,12.046,0.041,12.042,0.039,11.947,0.044,12.156,0.039,27.171,17.4,33.1,133,0.209,0.004,0.545,0.0020000000000000018,10.458040089434007,0.17830916363465224,0.044493146210974895,11.181,0.41,1.175,7.807,,0.4,0.263,4548.921427519999,AA,http://byw.tools/wiseview#ra=326.9316142&dec=14.525291&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J2140293+162518,J214029.23+162516.70,325.1219100371571,0.04539576059850375,16.421360929925186,0.04197705735660848,11.422,0.02,11.423,0.019,11.301,0.022,11.532,0.025,55.709,38.8,67.8,200,0.231,-0.001,0.472,0.0,4.058519351848805,0.37721695756622853,187.44525780535704,11.214,0.026,11.215,0.026,11.075,0.024,11.357,0.031,41.682,25.0,50.3,201,0.282,-0.001,0.504,0.0,4.085058271662961,0.41854506312846523,177.91414300169484,10.622,0.26,4.3,7.705,,1.4,0.208,4548.671589409998,AA,http://byw.tools/wiseview#ra=325.1217758&dec=16.42130666&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J21321145+1341584,J213211.45+134156.14,323.0478085291096,0.08963801369863014,13.69889136130137,0.0859181506849315,13.066,0.034,13.058,0.033,12.935,0.03,13.187,0.038,32.324,21.9,38.3,147,0.252,0.008,0.512,0.0040000000000000036,9.809616133606976,0.1442872243052316,0.11374556857201915,12.694,0.061,12.693,0.059,12.523,0.064,12.869,0.065,18.24,10.7,24.3,145,0.346,0.001,0.509,0.0020000000000000018,10.842504544930213,0.17504069729637517,0.021968193218899163,11.132,0.414,1.625,7.805,,0.333,0.372,4548.848322509999,AA,http://byw.tools/wiseview#ra=323.0477158&dec=13.69892717&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J2101154+175658,J210115.59+175656.15,315.31503887777774,0.1663915824915825,17.948797275084175,0.16167878787878787,14.043,0.056,14.045,0.055,13.885,0.055,14.238,0.062,19.584,12.1,24.5,147,0.353,-0.002,0.547,0.0050000000000000044,9.51429938939546,0.14698847740851048,0.06826659837808968,13.536,0.11,13.55,0.104,13.194,0.094,13.88,0.13,10.17,5.3,15.0,150,0.686,-0.014,0.481,0.006000000000000005,9.622921857134134,0.14565223505733596,0.08724508937760679,11.177,,0.824,7.677,0.371,1.146,0.507,4546.728394029997,AA,http://byw.tools/wiseview#ra=315.314963&dec=17.94893138&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSS J205235.31-160929.8,J205235.62-160927.38,313.1485869287671,0.19069554794520546,-16.157777388013695,0.19074554794520548,14.234,0.065,14.23,0.063,14.009,0.059,14.529,0.077,16.91,8.9,20.6,147,0.52,0.004,0.575,0.0020000000000000018,8.25787083259082,0.16199558514857407,1.0208015598940916,13.618,0.127,13.613,0.117,13.284,0.079,13.992,0.221,8.964,4.4,13.8,145,0.708,0.005,0.535,0.0010000000000000009,10.763673379951866,0.18206371646598624,0.053860587200186244,10.974,,0.929,7.65,0.459,1.043,0.616,4549.406311979998,AA,http://byw.tools/wiseview#ra=313.1483991&dec=-16.15760671&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSS J202820.32+005226.5,J202820.45+005226.63,307.0852676774468,0.06075574468085106,0.8739942114893617,0.05903531914893617,12.307,0.025,12.305,0.024,12.241,0.024,12.368,0.027,43.773,30.7,52.2,122,0.127,0.002,0.496,0.0030000000000000027,10.40551521619635,0.18485512927034992,0.1578990749767459,12.046,0.039,12.045,0.039,11.933,0.037,12.176,0.036,27.853,20.1,32.6,113,0.243,0.001,0.539,0.015000000000000013,3.5908417590828834,0.16835130966132472,51.85520806971881,10.85,0.364,2.35,7.802,0.489,2.2,0.26,4549.430254649997,AA,http://byw.tools/wiseview#ra=307.0851877&dec=0.874064332&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J19360187-5502322,J193602.28-550236.77,294.0097479263158,0.06330445344129554,-55.04374852348178,0.06313724696356275,12.292,0.025,12.29,0.025,12.221,0.027,12.362,0.023,43.592,32.4,50.7,124,0.141,0.002,0.511,0.03200000000000003,7.01604723405152,0.13480212340956088,0.6584867007907522,12.042,0.039,12.043,0.038,11.906,0.037,12.16,0.046,28.193,16.6,34.3,123,0.254,-0.001,0.461,0.0,4.745872788697952,0.20388425333043164,28.10650678739703,10.944,0.349,2.875,7.739,,0.48,0.251,4549.50656532,AA,http://byw.tools/wiseview#ra=294.0095146&dec=-55.04354596&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J1847034+552243,J184703.67+552242.23,281.7653021977233,0.039048861646234674,55.37837391576181,0.03638248686514886,10.672,0.018,10.672,0.018,10.636,0.021,10.711,0.022,60.884,41.6,76.5,283,0.075,-0.0,0.52,0.0010000000000000009,11.973362135348408,0.0905827866255533,0.026230579553483072,10.496,0.02,10.496,0.02,10.43,0.021,10.563,0.022,54.229,35.6,66.1,288,0.133,-0.0,0.504,0.0030000000000000027,10.210196524318858,0.0832014278212283,0.8069598877650846,10.352,0.189,6.056,7.688,0.244,1.284,0.176,4184.436700679995,AA,http://byw.tools/wiseview#ra=281.7652764&dec=55.37839837&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SCR J1845-6357,J184511.73-635737.00,281.3002882059072,0.026372573839662447,-63.96032678396624,0.02367257383966245,8.151,0.015,8.153,0.015,8.112,0.019,8.195,0.017,70.806,50.9,83.1,121,0.083,-0.002,0.506,0.0020000000000000018,9.327059186948347,0.1920140481805897,0.06370632134483255,7.809,0.013,7.81,0.013,7.761,0.014,7.856,0.015,85.238,66.7,106.2,116,0.095,-0.001,0.484,0.007000000000000006,9.191082211805602,0.16555291454434337,0.1785095787872089,,,,,,,0.342,1991.95863809,AA,http://byw.tools/wiseview#ra=281.2988546&dec=-63.96027906&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J184124.74+700038.0,J184124.56+700040.79,280.3527770162121,0.6458054545454545,70.01135607090909,0.6617487878787879,16.243,0.269,16.268,0.269,15.561,0.193,16.693,0.345,4.181,3.1,7.2,253,1.132,-0.025,0.375,0.013000000000000012,9.5350915750559,0.11266092219662663,0.06594686441132742,14.324,0.199,14.313,0.19,13.766,0.16,14.887,0.249,5.704,3.2,9.1,407,1.121,0.011,0.512,0.0020000000000000018,12.064842812354742,0.065735999872815,0.031229157416870493,11.337,0.461,0.999,7.765,0.441,1.08,1.919,4215.785310350002,AA,http://byw.tools/wiseview#ra=280.3523361&dec=70.01133161&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LP 44-334,J184001.99+724057.17,280.0093826163064,0.030955992141453833,72.6825291626719,0.03264833005893909,9.777,0.017,9.777,0.016,9.741,0.021,9.808,0.014,65.378,41.2,81.8,254,0.067,-0.0,0.463,0.0030000000000000027,6.103228166386867,0.09756524933063183,9.520465193024267,9.569,0.016,9.568,0.016,9.53,0.018,9.615,0.021,68.13,37.0,83.9,255,0.085,0.001,0.553,0.007000000000000006,3.6385893210682547,0.09325430381090025,185.05740393559313,9.31,0.074,14.671,7.806,0.467,1.311,0.208,4367.354732879998,AA,http://byw.tools/wiseview#ra=280.00829721646267&dec=72.68254620119747&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISE J180952.53-044812.5,J180952.51-044814.09,272.46880114180794,0.10267401129943501,-4.804360979096045,0.1081361581920904,13.289,0.04,13.284,0.039,13.108,0.042,13.472,0.044,27.683,16.9,33.4,90,0.364,0.005,0.516,0.0030000000000000027,9.594344634516364,0.22500626238519367,0.06644135652487022,12.748,0.066,12.747,0.064,12.556,0.063,12.983,0.071,16.783,11.0,21.6,87,0.427,0.001,0.553,0.0,9.337423127295528,0.2425620263277617,0.8619351413249853,11.246,,0.3,7.722,,0.7,0.541,4382.36557021,AA,http://byw.tools/wiseview#ra=272.4688041&dec=-4.803914307&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1750129+442404,J175012.87+442406.89,267.5536944982041,0.04458241965973535,44.401910920321356,0.04538799621928166,11.485,0.021,11.485,0.02,11.431,0.017,11.541,0.021,53.518,30.1,66.5,526,0.11,-0.0,0.509,0.0010000000000000009,6.300485125306615,0.05994341355353621,16.541425386467118,11.258,0.026,11.259,0.026,11.177,0.026,11.339,0.024,41.866,26.1,49.7,532,0.162,-0.001,0.494,0.0,16.43613496273321,0.07891048023617143,0.06429260432095056,10.856,0.305,3.513,7.815,,0.58,0.226,4384.0291082600015,AA,http://byw.tools/wiseview#ra=267.5536391&dec=44.40191454&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LSPM J1735+2634,J173513.14+263442.73,263.8048631223228,0.03169939668174962,26.578312124283556,0.030713876319758672,9.893,0.017,9.894,0.016,9.851,0.017,9.932,0.018,65.828,40.8,83.0,334,0.081,-0.001,0.469,0.006000000000000005,11.109124139064999,0.06578300143364259,0.07515757458929456,9.656,0.016,9.656,0.016,9.61,0.019,9.7,0.018,68.133,41.5,84.8,329,0.09,0.0,0.489,0.0,3.6491492707386124,0.08998385259327267,92.04454846902833,9.375,0.08,13.57,7.687,,0.943,0.237,4547.000694369999,BA,http://byw.tools/wiseview#ra=263.8047564&dec=26.57853485&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J1728114+394859,J172811.51+394859.50,262.04815368282937,0.0862696544276458,39.816368615766734,0.09250269978401728,13.104,0.034,13.103,0.033,12.997,0.039,13.205,0.037,32.671,20.5,39.0,464,0.208,0.001,0.49,0.0020000000000000018,3.881588149214757,0.06258369898867401,188.52405075663,12.674,0.056,12.674,0.054,12.5,0.057,12.863,0.077,19.564,11.0,24.9,462,0.363,0.0,0.521,0.0,3.554583758963535,0.09190046297604149,91.85155635787356,11.224,0.42,1.8,7.803,0.303,0.967,0.43,4549.713758260004,AA,http://byw.tools/wiseview#ra=262.0479496&dec=39.81652893&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J171104.60+350036.8,J171104.54+350037.00,257.7688127306397,0.8080996632996633,35.01012603872054,0.9056447811447811,16.731,0.394,16.74,nan,15.81,nan,17.256,nan,1.112,-3.5,4.4,152,1.446,-0.009,0.357,1.0,nan,nan,4548.995321809998,14.533,0.235,14.538,0.23,13.966,0.195,15.073,0.291,4.769,3.1,7.2,145,1.107,-0.005,0.483,0.0040000000000000036,4.683274976126023,0.14475738113687417,10.140426486424426,11.379,,0.671,7.871,,0.46,2.199,4548.995321809998,BA,http://byw.tools/wiseview#ra=257.7689209&dec=35.01027805&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J17072343-0558249,J170723.42-055825.32,256.8481853591837,0.03354244897959184,-5.97350056122449,0.03276857142857143,10.235,0.017,10.236,0.017,10.201,0.024,10.268,0.02,64.116,35.4,77.3,125,0.067,-0.001,0.478,0.0010000000000000009,11.699418135534218,0.20850729022587539,0.0601121406687737,9.965,0.017,9.963,0.017,9.911,0.023,10.006,0.017,63.48,36.3,77.3,120,0.095,0.002,0.453,0.0010000000000000009,10.394116741575962,0.1993228177275589,0.11590057054229269,9.014,0.134,9.31,7.046,,1.0,0.27,4548.316996610003,AA,http://byw.tools/wiseview#ra=256.8476&dec=-5.9737&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SIMP J1619275+031350,J161927.60+031347.60,244.86487635069125,0.16376635944700463,3.2295169331797235,0.18016082949308757,14.198,0.062,14.2,0.06,13.998,0.069,14.393,0.067,17.849,11.6,22.2,111,0.395,-0.002,0.489,0.0,5.653030350354651,0.2821541039088589,13.53425404516673,13.206,0.091,13.192,0.087,12.949,0.114,13.518,0.348,12.564,3.1,17.5,106,0.569,0.014,0.572,0.0,8.98916318711969,0.2375179749101898,0.06468007359109651,10.895,0.387,2.25,7.58,0.435,1.088,0.992,4545.704791969998,AA,http://byw.tools/wiseview#ra=244.8650187&dec=3.229889969&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
