name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
WISEPA J061407.49+391236.4,J061407.48+391234.69,93.53076846363636,0.37611558441558446,39.208929554545456,0.41441623376623377,16.069,0.257,16.109,0.262,15.413,0.138,16.439,0.333,4.458,3.1,7.9,65,1.026,-0.04,0.322,0.04300000000000004,6.606836097065408,0.30878799026677456,0.09735907818012915,13.601,0.121,13.587,0.116,13.371,0.089,13.906,0.16,9.228,5.7,12.6,89,0.535,0.014,0.596,0.0030000000000000027,10.364074058662528,0.23621861284576853,0.04841785036771318,11.136,,1.175,7.778,,0.533,2.468,4576.51009032,AA,http://byw.tools/wiseview#ra=93.53115796&dec=39.20963722&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J061213.93-303612.7,J061213.90-303612.24,93.05758069241878,0.4924046931407942,-30.603903533574012,0.5518252707581227,16.173,0.265,16.218,0.267,15.455,0.221,16.61,0.351,4.283,3.1,7.0,69,1.155,-0.045,0.339,0.010000000000000009,7.87292900315583,0.2988616432914465,0.02278576395542605,14.033,0.164,14.03,0.157,13.547,0.14,14.466,0.263,6.933,3.9,11.6,208,0.919,0.003,0.474,0.013000000000000012,7.776057464689732,0.10975234715697328,0.4765552234087006,11.235,0.502,1.026,7.76,0.471,1.008,2.14,4577.233494970002,AA,http://byw.tools/wiseview#ra=93.0579&dec=-30.6034&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J061135.13-041024.0,J061135.16-041024.43,92.89655059080461,0.11253256704980844,-4.173896277011494,0.1209176245210728,13.564,0.044,13.561,0.042,13.415,0.04,13.707,0.062,25.262,16.7,30.5,131,0.292,0.003,0.5,0.0050000000000000044,10.211435545601226,0.1741099730362478,0.097905617451546,12.94,0.071,12.935,0.069,12.77,0.067,13.15,0.089,15.575,9.5,20.2,130,0.38,0.005,0.566,0.026000000000000023,8.148680192005234,0.1428036927348779,1.4273019239184208,11.248,0.438,1.05,7.713,,0.85,0.623,4576.976656159997,AA,http://byw.tools/wiseview#ra=92.89648541&dec=-4.173452624&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS J055146.0-443412,J055145.95-443413.14,87.94140963832336,0.1767560878243513,-44.57019836866268,0.18865508982035928,14.238,0.062,14.233,0.059,14.062,0.059,14.43,0.094,17.788,6.7,21.6,251,0.368,0.005,0.535,0.0020000000000000018,12.639698042680443,0.11572027604206003,0.4973928218706089,13.997,0.152,13.974,0.146,13.504,0.119,14.408,0.202,7.459,3.5,11.2,250,0.904,0.023,0.48,0.013000000000000012,10.094630187335195,0.09795675718269307,0.05857712539135055,11.437,,0.76,7.828,,0.875,0.241,4578.06985154,AA,http://byw.tools/wiseview#ra=87.94147446&dec=-44.57031622&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J05431887+6422528,J054319.00+642249.10,85.82921416633859,0.047766732283464564,64.38012152303149,0.047803346456692916,11.662,0.021,11.661,0.021,11.611,0.022,11.712,0.023,52.008,29.5,64.4,254,0.101,0.001,0.505,0.010000000000000009,9.997823617430456,0.08333034821742015,0.14249567708134223,11.411,0.028,11.411,0.028,11.317,0.027,11.49,0.028,38.781,22.4,46.8,254,0.173,0.0,0.457,0.0,13.58603876139481,0.14290690590157712,0.06449520068633666,10.967,0.349,3.246,7.771,,0.667,0.25,4577.288887909999,AA,http://byw.tools/wiseview#ra=85.82916995&dec=64.38030547&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J05185995-2828372,J051859.89-282841.28,79.74945057319422,0.10049470304975923,-28.478401069020865,0.10483852327447835,13.409,0.039,13.404,0.037,13.288,0.061,13.531,0.044,28.297,17.3,34.2,315,0.243,0.005,0.523,0.0,12.236197770256291,0.0879994905739978,0.032857696314185926,12.882,0.067,12.884,0.064,12.677,0.059,13.09,0.097,16.698,8.2,22.0,308,0.413,-0.002,0.499,0.0,4.6585639248154616,0.1076431485851153,52.22016911917806,11.18,0.411,1.631,7.716,0.489,0.781,0.526,4574.486814839998,AA,http://byw.tools/wiseview#ra=79.74952243&dec=-28.47813206&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J045853.89+643452.9,J045853.90+643452.68,74.72565964389437,0.24620924092409244,64.58187342211221,0.26091848184818484,16.085,0.25,16.076,0.25,15.335,0.136,16.611,0.332,4.58,3.1,8.3,126,1.276,0.009,0.419,0.009000000000000008,8.365553644064473,0.21130236497958524,0.1235514220045244,13.01,0.074,13.01,0.069,12.84,0.059,13.214,0.096,15.061,7.3,19.1,177,0.374,0.0,0.545,0.020000000000000018,9.174953295622762,0.11683574066538281,0.03525357906305075,11.134,0.507,1.273,7.845,,0.3,3.075,4578.548004739998,AA,http://byw.tools/wiseview#ra=74.7246&dec=64.5813&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS 0441+2301 Aab,J044145.65+230158.08,70.44024936894976,0.03126392694063927,23.032669478538814,0.02930958904109589,9.692,0.017,9.693,0.016,9.646,0.018,9.74,0.021,66.465,38.8,79.6,113,0.094,-0.001,0.5,0.0,6.902062175608599,0.2228545796333627,2.4303039259578085,9.47,0.016,9.471,0.015,9.427,0.015,9.52,0.015,69.625,45.1,83.7,106,0.093,-0.0,0.532,0.0030000000000000027,9.839894573271224,0.21037918221198088,0.0654588008292575,8.944,0.068,16.16,7.506,0.438,2.52,0.221,4573.588958259999,AA,http://byw.tools/wiseview#ra=70.4402&dec=23.0328&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS 0441+2301 Bab,J044144.90+230151.26,70.43708213333333,0.06333333333333334,23.030874666666666,0.06543333333333334,12.482,0.028,12.504,0.028,12.429,0.027,12.513,0.028,38.0,35.7,39.5,3,0.084,-0.022,0.107,0.10399999999999998,2.2340860443731225,1.000000000003608,1095.2293945885706,11.877,0.039,11.869,0.04,11.853,0.042,11.908,0.04,28.0,25.9,30.8,3,0.055,0.008,0.709,0.09699999999999998,242.42675682806282,6605.460434582702,0.03657974341867135,,,,,,,0.605,2555.535254039998,BB,http://byw.tools/wiseview#ra=70.43710274&dec=23.03090448&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J0429184-312356,J042918.56-312354.89,67.32730347151899,0.031264873417721516,-31.39863670996835,0.028484810126582275,9.532,0.016,9.534,0.016,9.493,0.015,9.571,0.018,67.497,38.8,82.3,316,0.078,-0.002,0.474,0.0020000000000000018,11.283893685521537,0.08048990283021397,0.06753305896608973,9.348,0.015,9.349,0.015,9.302,0.02,9.393,0.014,71.996,46.7,89.0,316,0.091,-0.001,0.484,0.0,4.194797689173148,0.08857870676766469,178.98523635215128,9.083,0.061,17.752,7.732,0.442,0.932,0.184,4576.18639717,AA,http://byw.tools/wiseview#ra=67.32732905&dec=-31.39858146&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSSp J042348.57-041403.5,J042348.21-041401.79,65.95073575377359,0.05648962264150943,-4.233856119811321,0.055468867924528306,12.185,0.024,12.185,0.023,12.123,0.031,12.229,0.028,45.296,31.9,54.2,108,0.106,-0.0,0.415,0.0,11.57420346407044,0.2572213908066839,0.059553982809339795,11.613,0.031,11.618,0.031,11.522,0.034,11.691,0.032,34.79,25.1,41.1,104,0.169,-0.005,0.432,0.0020000000000000018,10.280467863566143,0.22580817292645253,0.04257579168916349,10.684,0.281,4.333,7.47,,1.32,0.572,4575.711161190004,AA,http://byw.tools/wiseview#ra=65.95086114&dec=-4.233829678&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LP 415-20,J042149.74+192907.97,65.45727577305935,0.047909132420091316,19.485527075799084,0.045955707762557085,11.433,0.021,11.431,0.02,11.371,0.02,11.504,0.022,53.208,36.6,62.5,111,0.133,0.002,0.549,0.009000000000000008,8.817020062225412,0.1639870291072553,0.14770822356654398,11.244,0.029,11.248,0.027,11.157,0.025,11.33,0.032,38.425,13.1,49.0,108,0.173,-0.004,0.474,0.0050000000000000044,9.39261398648258,0.17943801462348008,0.07539155512940725,10.163,0.255,4.3,6.331,0.177,7.6,0.189,4575.385315160005,BB,http://byw.tools/wiseview#ra=65.45724756&dec=19.48554689&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J035726.9-441730,J035727.08-441729.91,59.36285210198511,0.07075210918114144,-44.29181566104218,0.06797841191066997,12.49,0.027,12.492,0.026,12.414,0.023,12.585,0.033,41.01,29.1,49.5,201,0.171,-0.002,0.544,0.0,15.416220882632459,0.17974268342632055,0.06450086967987217,12.118,0.041,12.114,0.039,11.986,0.083,12.262,0.047,27.201,13.1,34.0,202,0.276,0.004,0.536,0.0010000000000000009,4.4773699548185455,0.14323963966355302,51.64820353537818,11.099,0.395,2.148,7.69,0.419,1.229,0.372,4574.309226449994,AA,http://byw.tools/wiseview#ra=59.36284371&dec=-44.29164288&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J03552337+1133437,J035523.64+113335.33,58.8485093877922,0.035595584415584414,11.559087925194806,0.033516363636363636,10.536,0.018,10.535,0.017,10.496,0.026,10.578,0.021,62.355,40.2,76.6,192,0.082,0.001,0.524,0.0,9.200429334537434,0.1370958099816825,0.44472388368589133,9.971,0.018,9.97,0.017,9.915,0.024,10.022,0.024,61.966,37.3,72.4,193,0.107,0.001,0.486,0.0,14.906935326938484,0.18676088226956475,0.06530853516726913,9.297,0.091,12.155,7.602,0.446,1.427,0.565,4576.149466609997,AA,http://byw.tools/wiseview#ra=58.84849177&dec=11.55981255&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASP J0345432+254023,J034543.05+254022.98,56.42930442184467,0.06185194174757281,25.6729297,0.06185776699029126,12.356,0.025,12.354,0.025,12.301,0.028,12.439,0.025,43.324,27.1,50.5,106,0.138,0.002,0.616,0.0010000000000000009,11.201656846934664,0.25493575480348357,0.06488607343375628,12.105,0.043,12.106,0.041,11.975,0.039,12.221,0.058,25.671,18.5,31.2,100,0.246,-0.0,0.47,0.0,10.01051430735417,0.21894013231590642,0.18022094799642396,11.122,,0.4,7.657,,0.9,0.251,4575.737781250005,AA,http://byw.tools/wiseview#ra=56.42937208&dec=25.67304886&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0320284-044636,J032028.10-044644.83,50.11703096052009,0.05047328605200946,-4.77939507210402,0.04876241134751773,11.818,0.022,11.82,0.022,11.756,0.022,11.882,0.024,50.222,33.1,59.7,216,0.126,-0.002,0.492,0.0020000000000000018,11.114452979665819,0.11100496658997164,0.06696830064638529,11.474,0.03,11.47,0.029,11.389,0.029,11.572,0.034,37.021,28.2,44.8,207,0.183,0.004,0.557,0.0,4.443858775725855,0.16598519128086883,179.7799577591088,10.836,0.335,3.3,7.754,,0.675,0.345,4572.403592340001,AA,http://byw.tools/wiseview#ra=50.11709291&dec=-4.779118641&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0310599+164816,J031100.19+164816.07,47.750709175000004,0.10751320754716981,16.804336167924525,0.10768962264150944,13.371,0.04,13.371,0.039,13.256,0.033,13.491,0.049,27.591,14.5,33.3,108,0.235,-0.0,0.511,0.01200000000000001,8.817512457887926,0.17960753793245485,0.045139190985913215,12.817,0.068,12.814,0.066,12.64,0.053,13.046,0.079,16.458,8.9,21.1,104,0.406,0.002,0.57,0.0,6.328537408672024,0.279641258950755,2.750162097034764,10.858,0.37,1.386,7.584,0.526,1.4,0.554,4572.615093270004,AA,http://byw.tools/wiseview#ra=47.75078863&dec=16.80446277&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J02495639-0557352,J024956.40-055735.28,42.48515880286458,0.042984114583333344,-5.960004779427083,0.0402859375,10.843,0.019,10.843,0.019,10.783,0.018,10.902,0.019,58.527,36.4,72.4,193,0.119,-0.0,0.496,0.0030000000000000027,6.631896306768665,0.1185327744492309,2.584724779144845,10.604,0.021,10.607,0.021,10.54,0.026,10.668,0.022,51.357,34.9,61.9,191,0.128,-0.003,0.477,0.0,4.067673782455446,0.16677958910856056,178.9087855603649,10.447,0.244,4.754,7.723,0.447,1.111,0.239,4574.101284159995,AA,http://byw.tools/wiseview#ra=42.485&dec=-5.9598&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISEPA J022623.98-021142.8,J022623.87-021144.94,36.59957000543478,0.8961043478260869,-2.1957900021739127,0.9559994565217392,16.595,0.43,16.595,nan,15.985,0.27,17.121,nan,1.311,-1.7,4.0,99,1.136,-0.0,0.463,1.0,nan,nan,4573.369417719994,14.43,0.236,14.43,0.235,13.897,0.131,14.998,0.33,4.771,3.1,8.5,85,1.101,0.0,0.516,0.009000000000000008,7.902743728242212,0.2824975096542578,0.06573634306223525,11.133,,0.81,7.658,,0.7,2.165,4573.369417719994,BA,http://byw.tools/wiseview#ra=36.59947034942938&dec=-2.195816244751485&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS J020529.0-115925,J020529.83-115929.04,31.37457548306306,0.06117891891891891,-11.99135368036036,0.058314594594594586,12.235,0.025,12.234,0.024,12.154,0.024,12.316,0.027,44.135,29.9,53.3,289,0.162,0.001,0.506,0.0040000000000000036,11.712582419412724,0.08148555393341864,0.04943374498024837,11.812,0.037,11.812,0.035,11.679,0.031,11.949,0.053,30.215,17.1,39.3,266,0.27,-0.0,0.506,0.0,3.916823993467054,0.12469003715059404,178.697646804172,10.79,0.317,3.473,7.63,,0.76,0.422,4572.552203430001,AA,http://byw.tools/wiseview#ra=31.3743&dec=-11.9914&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J01473282-4954478,J014732.69-495452.91,26.886287953414634,0.04895707317073171,-49.91464403439025,0.04497658536585366,11.723,0.021,11.722,0.021,11.664,0.022,11.785,0.024,50.987,37.8,61.2,205,0.121,0.001,0.521,0.0050000000000000044,9.677888247196448,0.10176183733535983,0.029442289776086955,11.52,0.03,11.518,0.03,11.416,0.03,11.614,0.034,36.135,22.3,44.5,205,0.198,0.002,0.485,0.0,3.6684456600765287,0.16640972222861264,177.9672793525425,10.736,0.273,4.0,7.538,,1.1,0.203,4550.0301087800035,AA,http://byw.tools/wiseview#ra=26.88621811&dec=-49.91469795&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
WISE J014656.66+423410.0,J014656.57+423408.75,26.735174984931504,0.9519205479452055,42.569214390410956,0.9889835616438355,16.651,0.345,16.666,nan,15.635,nan,17.213,nan,1.019,-2.6,5.5,37,1.578,-0.015,0.347,1.0,nan,nan,4572.326566439995,14.593,0.282,14.584,nan,13.981,0.182,15.365,0.444,3.961,1.4,6.0,36,1.384,0.008,0.564,0.877,nan,nan,4572.326566439995,11.296,0.414,1.45,7.657,,1.067,2.058,4572.326566439995,BB,http://byw.tools/wiseview#ra=26.73572505&dec=42.56909797&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
L 726-8,J013905.29-175652.16,24.772910202696078,0.03201446078431372,-17.947745642647057,0.02796691176470588,4.126,0.065,4.139,0.063,3.055,0.022,5.156,0.069,20.42,5.7,153.5,208,2.101,-0.013,0.484,0.06499999999999995,5.576235475686119,0.29710570117683677,0.12333402028876332,4.219,0.015,4.242,0.012,3.188,0.008,5.614,0.01,98.592,12.4,267.7,200,2.426,-0.024,0.565,0.006000000000000005,9.365054989282497,0.17871490078999264,0.0750293410333924,4.744,0.013,87.665,4.609,0.043,25.887,-0.092,4383.011523949994,AA,http://byw.tools/wiseview#ra=24.77204773&dec=-17.94782222&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J01303563-4445411,J013035.81-444541.20,22.64906867920792,0.06376435643564356,-44.76157874158416,0.05844851485148515,12.366,0.025,12.365,0.025,12.284,0.022,12.442,0.029,43.47,33.2,51.4,151,0.158,0.001,0.487,0.0010000000000000009,7.076732623019395,0.16561638128596776,5.3678228499056155,12.051,0.04,12.049,0.039,11.923,0.041,12.182,0.042,27.587,16.2,34.4,152,0.259,0.002,0.514,0.0020000000000000018,4.421747402085103,0.15287622913636803,52.35634807341772,10.913,0.337,2.667,7.611,,1.15,0.315,4549.76664758,AA,http://byw.tools/wiseview#ra=22.64920656&dec=-44.76144535&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
HIP 6407B,J012217.03+033121.25,20.570909146768063,0.16841787072243347,3.5224784258555135,0.16501749049429654,13.935,0.056,13.937,0.053,13.731,0.123,14.109,0.061,19.853,8.8,24.0,143,0.378,-0.002,0.455,0.02400000000000002,9.050017276662787,0.12997101910561365,0.04290084973113584,13.627,0.129,13.624,0.122,13.293,0.129,14.039,0.311,8.827,3.5,12.8,120,0.746,0.003,0.556,0.008000000000000007,9.550659295542072,0.1804261902958101,0.033150003327991714,11.02,,1.012,7.581,,0.9,0.308,4568.296983619999,BA,http://byw.tools/wiseview#ra=20.57096814&dec=3.522569377&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0045214+163445,J004521.88+163444.53,11.341067636097561,0.038588048780487806,16.578863519268292,0.03605365853658537,10.78,0.018,10.78,0.018,10.734,0.024,10.825,0.021,59.851,35.5,73.8,209,0.091,0.0,0.495,0.0,12.649521087458726,0.13974148090375957,0.0417547215033887,10.415,0.02,10.415,0.02,10.344,0.024,10.486,0.029,54.931,36.9,67.1,201,0.142,0.0,0.5,0.0,3.2179272652911295,0.1902174316525581,91.05669566655128,9.713,0.12,9.1,7.46,0.326,1.637,0.365,4382.862284750001,AA,http://byw.tools/wiseview#ra=11.3411537&dec=16.5790351&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J0041353-562112,J004135.65-562113.38,10.39844411875,0.03717258522727273,-56.353839639914774,0.03391036931818182,10.629,0.018,10.629,0.018,10.582,0.02,10.679,0.021,61.416,40.1,77.3,353,0.097,-0.0,0.515,0.0010000000000000009,10.745544357941629,0.07080112926845535,0.44209247207094293,10.374,0.019,10.375,0.019,10.305,0.023,10.445,0.024,56.992,37.0,70.6,351,0.14,-0.001,0.5,0.0,3.4754755565579694,0.13031007495315458,177.93213315293363,10.006,0.137,8.048,7.673,0.447,0.953,0.254,4549.131537610003,AA,http://byw.tools/wiseview#ra=10.3985324&dec=-56.35371757&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J0036159+182110,J003617.03+182112.74,9.071713153146852,0.03748135198135198,18.353473764102567,0.03474685314685315,10.533,0.018,10.534,0.017,10.485,0.023,10.582,0.019,61.895,40.3,74.2,218,0.097,-0.001,0.495,0.0,3.8102495015433147,0.12637962360639063,185.72082729576277,10.267,0.019,10.266,0.019,10.201,0.02,10.334,0.018,57.101,36.8,69.5,211,0.133,0.001,0.511,0.0,4.199458019613768,0.2549976588580929,90.55808934256198,9.928,0.146,7.575,7.656,0.541,1.0,0.266,4383.011524180001,AA,http://byw.tools/wiseview#ra=9.070976724&dec=18.35353765&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LP 349-25,J002756.45+221929.64,6.9854795991329475,0.030962427745664742,22.324818858670522,0.027920520231213868,9.314,0.016,9.313,0.016,9.268,0.02,9.353,0.018,68.264,41.5,83.0,179,0.085,0.001,0.471,0.009000000000000008,4.1304134736857225,0.10144279614055805,179.63169288360655,9.077,0.015,9.075,0.014,9.028,0.017,9.128,0.016,74.679,42.6,92.5,167,0.1,0.002,0.53,0.0,3.263032940657455,0.23373946400372678,73.7881028006734,8.787,0.056,19.88,7.611,0.525,1.05,0.236,4383.013306360001,AA,http://byw.tools/wiseview#ra=6.9852&dec=22.3249&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J0025036+475919,J002504.16+475919.74,6.267494594594594,0.05456988416988417,47.988400854054056,0.052112741312741316,11.845,0.022,11.85,0.021,11.713,0.025,11.993,0.024,49.994,38.1,58.5,130,0.28,-0.005,0.511,0.0,4.243875658504149,0.5498654660586095,178.83316361069103,11.68,0.032,11.675,0.032,11.526,0.028,11.831,0.041,33.953,22.7,42.0,129,0.305,0.005,0.511,0.0,4.358951988276681,0.5404006470587988,179.77069002542598,10.911,0.31,3.07,7.802,0.515,1.04,0.165,4572.16788298,AA,http://byw.tools/wiseview#ra=6.267323039&dec=47.98881716&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LHS 1070,J002444.10-270813.26,6.183675100190476,0.02848095238095238,-27.13680445866667,0.025542476190476192,7.84,0.016,7.844,0.016,7.783,0.016,7.893,0.02,67.146,41.1,85.3,265,0.11,-0.004,0.445,0.0050000000000000044,11.633441548801727,0.09410794631016774,0.06717999485361492,7.623,0.013,7.621,0.013,7.559,0.015,7.682,0.017,83.584,41.1,107.4,260,0.123,0.002,0.496,0.0,3.3949628989970058,0.11725766526341076,90.75919101408641,7.353,0.023,47.96,7.168,0.294,3.816,0.217,4553.086082540001,AA,http://byw.tools/wiseview#ra=6.183752233&dec=-27.13701595&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSS J000649.16-085246.3,J000649.15-085250.27,1.7045326831460672,0.07738426966292135,-8.88111378483146,0.07415955056179775,12.776,0.03,12.778,0.03,12.699,0.03,12.883,0.033,36.133,28.9,42.2,67,0.184,-0.002,0.571,0.0030000000000000027,11.075431019594504,0.3370242790170764,0.5452177869440901,12.375,0.053,12.376,0.051,12.249,0.053,12.525,0.061,21.05,13.2,26.0,111,0.276,-0.001,0.54,0.010000000000000009,8.397571057146791,0.17747223819307964,0.08947604806272515,10.888,,0.9,7.798,,,0.401,4544.756909249998,AA,http://byw.tools/wiseview#ra=1.70477456&dec=-8.880629851&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
LHS 102BC,J000435.77-404432.47,1.1498394481481482,0.038735626102292774,-40.742845755908284,0.03511128747795414,10.764,0.019,10.763,0.018,10.705,0.023,10.825,0.023,58.892,43.8,68.3,283,0.12,0.001,0.517,0.04800000000000004,8.21231157878518,0.05928281675831563,0.08451724522377817,10.518,0.021,10.516,0.02,10.443,0.02,10.598,0.025,52.766,43.1,64.3,284,0.155,0.002,0.529,0.0,3.265916082960343,0.30205888074527015,60.157012542989364,9.265,,1.0,5.915,0.134,8.1,0.246,4547.870148249996,BB,http://byw.tools/wiseview#ra=1.1490359725569588&dec=-40.74235406256028&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
